% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 88.77    0.780189          48     15949           sched_yield
  4.35    0.038203       38203         1         1 connect
  1.68    0.014764          64       228           write
  1.63    0.014358        1794         8           epoll_wait
  0.74    0.006461         293        22           close
  0.49    0.004287          87        49           mmap
  0.34    0.002968         114        26           fcntl
  0.28    0.002498         104        24         2 openat
  0.24    0.002118         264         8           fdatasync
  0.17    0.001501          46        32           getpid
  0.14    0.001241          56        22           fstat
  0.13    0.001178          58        20           read
  0.13    0.001109         100        11           pwrite64
  0.12    0.001029         171         6         3 recvfrom
  0.10    0.000913          57        16         6 newfstatat
  0.07    0.000619          44        14           mprotect
  0.07    0.000586          48        12           brk
  0.06    0.000544          20        27           futex
  0.06    0.000522         174         3           unlink
  0.05    0.000469          67         7           pread64
  0.05    0.000462          77         6           epoll_ctl
  0.04    0.000381         127         3         2 accept
  0.04    0.000342         114         3           clone3
  0.04    0.000323          40         8           rt_sigprocmask
  0.03    0.000240         120         2           sendto
  0.02    0.000216          72         3           ioctl
  0.02    0.000181          90         2           timerfd_settime
  0.02    0.000140          70         2           socket
  0.02    0.000140         140         1           tgkill
  0.01    0.000123          20         6           lseek
  0.01    0.000107          35         3           geteuid
  0.01    0.000084          84         1           eventfd2
  0.01    0.000077          77         1           epoll_create1
  0.01    0.000063          63         1           rt_sigaction
  0.01    0.000059          59         1           gettid
  0.01    0.000054          54         1           arch_prctl
  0.01    0.000054          54         1           set_robust_list
  0.01    0.000053          53         1           set_tid_address
  0.01    0.000053          53         1           rseq
  0.01    0.000050          50         1           getcwd
  0.01    0.000048          48         1           getsockopt
  0.01    0.000045          45         1           poll
  0.00    0.000027          27         1           timerfd_create
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           listen
  0.00    0.000000           0         1           setsockopt
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         2           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    0.878879          53     16545        15 total
