% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 90.67    0.714677          47     14937           sched_yield
  2.17    0.017114          75       227           write
  0.84    0.006628          72        91           getpid
  0.72    0.005649         115        49           mmap
  0.71    0.005611         431        13           epoll_wait
  0.41    0.003227         134        24         5 recvfrom
  0.41    0.003222         134        24         2 openat
  0.39    0.003062         139        22           fcntl
  0.38    0.003014         251        12           ioctl
  0.28    0.002201         137        16           sendto
  0.26    0.002020         252         8           fdatasync
  0.25    0.001967          72        27           futex
  0.22    0.001748          79        22           close
  0.22    0.001746          87        20           read
  0.22    0.001734          82        21           fstat
  0.22    0.001724         107        16         7 newfstatat
  0.20    0.001580         112        14           mprotect
  0.18    0.001454          72        20           brk
  0.16    0.001264         114        11           pwrite64
  0.12    0.000985          75        13         2 accept
  0.12    0.000967         322         3           clone3
  0.10    0.000803          53        15           epoll_ctl
  0.09    0.000735         105         7           pread64
  0.09    0.000686         686         1         1 connect
  0.09    0.000683         341         2           unlink
  0.08    0.000597          74         8           rt_sigprocmask
  0.06    0.000450          75         6           lseek
  0.03    0.000263          87         3           geteuid
  0.03    0.000229         114         2           socket
  0.03    0.000204         204         1           tgkill
  0.02    0.000182         182         1           timerfd_create
  0.02    0.000177          88         2           timerfd_settime
  0.02    0.000153         153         1           getsockopt
  0.02    0.000129         129         1           getcwd
  0.01    0.000107         107         1           listen
  0.01    0.000103         103         1           munmap
  0.01    0.000097          97         1           bind
  0.01    0.000094          94         1           gettid
  0.01    0.000091          91         1           arch_prctl
  0.01    0.000089          89         1           rseq
  0.01    0.000087          87         1           eventfd2
  0.01    0.000086          86         1           set_tid_address
  0.01    0.000084          84         1           setsockopt
  0.01    0.000082          82         1           set_robust_list
  0.01    0.000080          80         1           prlimit64
  0.01    0.000080          40         2           getrandom
  0.01    0.000078          78         1           rt_sigaction
  0.01    0.000077          77         1           epoll_create1
  0.01    0.000075          75         1           poll
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.788195          50     15658        18 total
