% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 91.01    0.851707          46     18212           sched_yield
  1.84    0.017218          74       230           write
  1.18    0.011031         735        15           epoll_wait
  0.77    0.007218          61       118           getpid
  0.73    0.006829        6829         1         1 connect
  0.39    0.003684         460         8           fdatasync
  0.36    0.003333         151        22           sendto
  0.29    0.002700         168        16         7 newfstatat
  0.27    0.002544         115        22           fcntl
  0.27    0.002501         104        24         2 openat
  0.26    0.002399          88        27           futex
  0.25    0.002367          55        43        14 recvfrom
  0.21    0.002000         133        15         1 accept
  0.18    0.001688         120        14           mprotect
  0.18    0.001658          75        22           brk
  0.17    0.001545          31        49           mmap
  0.16    0.001530         102        15           ioctl
  0.15    0.001415          78        18           epoll_ctl
  0.15    0.001371         124        11           pwrite64
  0.14    0.001309          59        22           close
  0.13    0.001203          57        21           fstat
  0.12    0.001112         370         3           clone3
  0.12    0.001111          55        20           read
  0.11    0.001031         515         2           socket
  0.09    0.000859         429         2           unlink
  0.09    0.000810         101         8           rt_sigprocmask
  0.05    0.000466          77         6           lseek
  0.05    0.000444          63         7           pread64
  0.04    0.000382         382         1           bind
  0.03    0.000258          86         3           geteuid
  0.02    0.000204         102         2           timerfd_settime
  0.02    0.000193         193         1           listen
  0.02    0.000174          87         2           getrandom
  0.01    0.000134         134         1           munmap
  0.01    0.000122         122         1           poll
  0.01    0.000112         112         1           gettid
  0.01    0.000101         101         1           eventfd2
  0.01    0.000100         100         1           getsockopt
  0.01    0.000096          96         1           epoll_create1
  0.01    0.000094          94         1           arch_prctl
  0.01    0.000092          92         1           setsockopt
  0.01    0.000090          90         1           set_tid_address
  0.01    0.000089          89         1           set_robust_list
  0.01    0.000087          87         1           timerfd_create
  0.01    0.000085          85         1           tgkill
  0.01    0.000081          81         1           getcwd
  0.01    0.000081          81         1           prlimit64
  0.01    0.000076          76         1           rseq
  0.01    0.000075          75         1           rt_sigaction
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.935809          49     19000        26 total
