elapsed_sec,rss_kb,cpu_ticks_total
0,13028,7
1,13028,7
2,14440,34
3,14804,62
4,15096,92
5,15272,120
6,15480,147
7,15624,175
8,15812,203
9,15888,231
11,16048,263
12,16120,296
13,16280,324
14,16344,350
15,16504,379
16,16608,408
17,16684,435
18,16864,464
19,16936,491
20,17028,520
21,17128,548
22,17212,576
23,17288,615
24,17296,650
25,17384,679
26,17468,706
27,17560,735
28,17632,763
29,17712,790
30,17828,818
31,17916,846
32,18016,874
33,18092,902
34,18180,930
35,18260,961
36,18260,1003
37,18272,1032
38,18348,1060
39,18436,1089
40,18524,1116
41,18532,1143
42,18616,1172
43,18712,1200
44,18796,1227
45,18876,1255
46,18880,1282
47,18944,1308
48,19044,1345
49,19044,1381
50,19128,1408
51,19128,1433
52,19224,1458
53,19292,1486
54,19292,1513
55,19384,1541
56,19468,1568
57,19476,1593
58,19564,1619
59,19652,1644
60,19660,1671
61,19792,1703
