% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 20.95    1.755036          73     23772           pwrite64
 16.69    1.397778         148      9444           fdatasync
 15.76    1.319960          62     21253           fcntl
 13.48    1.129567          78     14372           write
  7.22    0.605166          64      9452      4725 newfstatat
  5.78    0.483774         102      4741         2 openat
  4.79    0.400979         169      2361           unlink
  3.97    0.332420          70      4725           pread64
  3.76    0.314817          66      4746           close
  3.26    0.273490          57      4739           fstat
  1.87    0.156723          51      3019           getpid
  1.50    0.125752          53      2362           geteuid
  0.24    0.019958         140       142           sendto
  0.19    0.016118          69       233        11 recvfrom
  0.09    0.007884          85        92           epoll_wait
  0.07    0.006125          77        79         5 accept
  0.06    0.005210         108        48           mmap
  0.06    0.005015          54        92           epoll_ctl
  0.06    0.004866          63        77           brk
  0.05    0.004047          49        82           ioctl
  0.03    0.002348          73        32           futex
  0.02    0.001969         246         8         8 connect
  0.02    0.001274          63        20           read
  0.01    0.001141          57        20           timerfd_settime
  0.01    0.001075          82        13           mprotect
  0.01    0.001000         111         9           socket
  0.01    0.000554          69         8           getsockopt
  0.01    0.000491          61         8           poll
  0.01    0.000441         441         1           eventfd2
  0.00    0.000376          75         5           lseek
  0.00    0.000274          54         5           rt_sigprocmask
  0.00    0.000176          88         2           clone3
  0.00    0.000114         114         1           munmap
  0.00    0.000104         104         1           epoll_create1
  0.00    0.000100          50         2           getrandom
  0.00    0.000098          98         1           timerfd_create
  0.00    0.000081          81         1           set_tid_address
  0.00    0.000080          80         1           set_robust_list
  0.00    0.000076          76         1           arch_prctl
  0.00    0.000073          73         1           prlimit64
  0.00    0.000067          67         1           rt_sigaction
  0.00    0.000067          67         1           bind
  0.00    0.000059          59         1           listen
  0.00    0.000058          58         1           setsockopt
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    8.376781          79    105979      4752 total
