elapsed_sec,rss_kb,cpu_ticks_total
0,13096,6
1,13556,7
2,15304,32
3,16976,73
4,18680,123
5,20104,175
6,21156,227
7,22196,281
8,22668,336
9,22840,389
10,22892,437
11,22892,484
12,22896,530
13,22896,576
14,22896,623
15,22904,671
16,22972,719
17,22976,765
18,22984,812
19,22988,858
20,22992,905
21,22996,952
22,23004,998
23,23712,1048
25,23916,1105
26,24144,1164
27,24556,1221
28,25152,1280
29,25912,1339
30,26348,1398
31,26960,1456
32,27532,1515
33,28836,1574
34,29036,1630
35,29040,1678
36,29048,1725
37,29052,1774
38,29060,1822
39,29068,1870
40,29072,1919
41,29076,1966
42,29084,2013
43,29088,2061
44,29096,2108
45,29100,2157
46,29108,2203
47,29112,2252
48,29120,2300
49,29128,2347
50,29132,2395
51,29140,2442
52,29144,2490
53,29152,2538
54,29156,2585
55,29160,2633
56,29168,2680
58,29172,2728
59,29184,2775
60,29188,2822
61,29196,2870
62,29200,2918
