% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 92.92   10.035766          83    120813           write
  4.93    0.532889          68      7812      3564 recvfrom
  0.80    0.086412         141       611           epoll_wait
  0.50    0.053541          57       924           getpid
  0.21    0.022942         114       200           sendto
  0.13    0.014166          84       167        67 accept
  0.09    0.010154          70       144           brk
  0.07    0.007603          72       105           ioctl
  0.07    0.007295          65       111           epoll_ctl
  0.04    0.004421          83        53         5 futex
  0.03    0.003714          68        54           mmap
  0.02    0.002222          85        26           fcntl
  0.02    0.002213          96        23         2 openat
  0.02    0.001985          82        24           close
  0.01    0.001477         184         8           fdatasync
  0.01    0.001338          83        16         6 newfstatat
  0.01    0.001319          59        22           fstat
  0.01    0.001319          94        14           mprotect
  0.01    0.001186          59        20           read
  0.01    0.001176         294         4         4 connect
  0.01    0.000902          82        11           pwrite64
  0.01    0.000689         229         3           clone3
  0.01    0.000667          83         8           timerfd_settime
  0.01    0.000622          88         7           pread64
  0.00    0.000536         107         5           socket
  0.00    0.000536         178         3           unlink
  0.00    0.000463          92         5           munmap
  0.00    0.000454          64         7           rt_sigprocmask
  0.00    0.000373          74         5           lseek
  0.00    0.000303         303         1           setsockopt
  0.00    0.000235         235         1           set_robust_list
  0.00    0.000229          76         3           geteuid
  0.00    0.000181          45         4           poll
  0.00    0.000175          43         4           getsockopt
  0.00    0.000126         126         1           listen
  0.00    0.000117         117         1           rt_sigaction
  0.00    0.000078          78         1           bind
  0.00    0.000072          36         2           getrandom
  0.00    0.000058          58         1           set_tid_address
  0.00    0.000058          58         1           prlimit64
  0.00    0.000057          57         1           rseq
  0.00    0.000056          56         1           arch_prctl
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         1           timerfd_create
  0.00    0.000000           0         1           eventfd2
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- ----------------
100.00   10.800125          82    131233      3649 total
