elapsed_sec,rss_kb,cpu_ticks_total
0,13128,7
1,13436,8
2,14452,30
3,14452,46
4,14480,62
5,14488,80
6,14492,96
7,14552,113
8,14564,130
9,14572,143
10,14572,186
11,14632,231
12,14656,250
13,14656,264
14,14656,281
15,14688,298
16,14700,314
17,14712,330
18,14732,344
19,14744,360
21,14856,373
22,14872,390
23,14876,433
24,14880,478
25,14848,522
26,14856,543
27,14860,557
28,14872,571
29,14876,585
30,14884,602
31,14888,619
32,14892,639
33,14904,657
34,14920,669
35,14940,689
36,14944,737
37,14956,785
38,14956,829
39,14952,853
40,14956,868
41,14964,883
42,14972,898
43,14976,914
44,14984,929
45,14996,944
46,15008,959
47,15016,975
48,15028,994
49,15036,1040
50,15040,1084
51,15040,1109
52,15048,1124
54,15052,1139
55,15060,1155
56,15068,1173
57,15076,1188
58,15084,1202
59,15096,1212
60,15108,1228
61,15120,1242
62,15124,1274
