% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 44.62    2.809039          76     36563           write
 40.50    2.550065        2064      1235           epoll_wait
 14.19    0.893428          93      9589      4774 recvfrom
  0.07    0.004548          40       111           getpid
  0.07    0.004102          89        46         1 futex
  0.06    0.003653          73        50           mmap
  0.04    0.002446         244        10        10 connect
  0.04    0.002287         114        20           sendto
  0.04    0.002229          74        30           close
  0.03    0.001996          86        23         2 openat
  0.03    0.001816         129        14           mprotect
  0.03    0.001748          79        22           fcntl
  0.03    0.001720          52        33           epoll_ctl
  0.02    0.001556         194         8           fdatasync
  0.02    0.001477          56        26           brk
  0.02    0.001364          68        20           read
  0.02    0.001339          83        16         7 newfstatat
  0.02    0.001260         114        11           socket
  0.02    0.001156          57        20           timerfd_settime
  0.02    0.001151          54        21           fstat
  0.02    0.001140         103        11           pwrite64
  0.01    0.000839         279         3           clone3
  0.01    0.000784          37        21           ioctl
  0.01    0.000717          71        10           poll
  0.01    0.000707          58        12         2 accept
  0.01    0.000666          95         7           pread64
  0.01    0.000556          55        10           getsockopt
  0.01    0.000464          66         7           rt_sigprocmask
  0.00    0.000295          59         5           lseek
  0.00    0.000284          94         3           geteuid
  0.00    0.000178          89         2           unlink
  0.00    0.000126         126         1           prlimit64
  0.00    0.000112         112         1           munmap
  0.00    0.000085          85         1           getcwd
  0.00    0.000084          84         1           listen
  0.00    0.000083          41         2           getrandom
  0.00    0.000080          80         1           arch_prctl
  0.00    0.000079          79         1           rt_sigaction
  0.00    0.000077          77         1           set_tid_address
  0.00    0.000077          77         1           set_robust_list
  0.00    0.000077          77         1           rseq
  0.00    0.000073          73         1           bind
  0.00    0.000060          60         1           setsockopt
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           timerfd_create
  0.00    0.000000           0         1           eventfd2
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- ----------------
100.00    6.296023         131     47977      4797 total
