% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 21.77    1.915570          85     22419           pwrite64
 16.50    1.451411          72     20048           fcntl
 15.97    1.405291         157      8905           fdatasync
 12.86    1.131294          79     14201           write
  7.53    0.662688          74      8916      4456 newfstatat
  5.62    0.494676         110      4472         2 openat
  4.50    0.396236         177      2227           unlink
  4.05    0.356332          79      4457           pread64
  3.79    0.333745          74      4479           close
  3.44    0.302750          67      4472           fstat
  1.66    0.146112          65      2228           geteuid
  1.66    0.145820          62      2336           getpid
  0.21    0.018154          76       236           epoll_wait
  0.11    0.009345          99        94         9 recvfrom
  0.07    0.006203         563        11        11 connect
  0.04    0.003084          88        35           futex
  0.03    0.002736         136        20           sendto
  0.03    0.002632          54        48           mmap
  0.03    0.002411          68        35           epoll_ctl
  0.02    0.001904          86        22           timerfd_settime
  0.02    0.001647         137        12           socket
  0.02    0.001625          73        22           ioctl
  0.02    0.001325          66        20           read
  0.01    0.001255          59        21           brk
  0.01    0.001087          90        12         2 accept
  0.01    0.000818          74        11           poll
  0.01    0.000605          55        11           getsockopt
  0.00    0.000312          24        13           mprotect
  0.00    0.000199          39         5           lseek
  0.00    0.000183         183         1           bind
  0.00    0.000093          46         2           clone3
  0.00    0.000090          45         2           getrandom
  0.00    0.000073          14         5           rt_sigprocmask
  0.00    0.000047          47         1           munmap
  0.00    0.000045          45         1           setsockopt
  0.00    0.000040          40         1           listen
  0.00    0.000032          32         1           getcwd
  0.00    0.000030          30         1           prlimit64
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           timerfd_create
  0.00    0.000000           0         1           eventfd2
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    8.797900          88     99813      4481 total
