elapsed_sec,rss_kb,cpu_ticks_total
0,12980,5
1,12980,5
2,14388,35
3,14392,64
4,14400,93
5,14404,122
6,14404,153
7,14408,184
8,14432,214
9,14448,243
10,14508,281
11,14508,309
12,14508,337
13,14508,366
14,14512,394
15,14528,423
16,14528,452
17,14528,479
19,14528,508
20,14536,536
21,14552,566
22,14552,606
23,14560,631
24,14560,657
25,14560,686
26,14560,715
27,14564,741
28,14564,770
29,14564,798
30,14564,826
31,14564,854
32,14564,886
33,14568,925
34,14568,957
35,14568,985
36,14568,1013
37,14572,1043
38,14592,1074
39,14592,1103
40,14608,1132
41,14608,1161
42,14612,1186
43,14616,1213
44,14616,1249
45,14616,1282
46,14616,1310
47,14616,1339
48,14620,1369
49,14624,1397
50,14624,1426
51,14632,1454
52,14632,1482
53,14636,1512
54,14644,1540
55,14648,1574
56,14648,1615
57,14648,1643
58,14648,1673
59,14648,1702
60,14660,1730
61,14660,1758
