elapsed_sec,rss_kb,cpu_ticks_total
0,13088,7
1,13088,7
2,14928,38
3,15072,67
4,15224,94
5,15372,122
6,15528,150
7,15680,179
8,15748,207
9,15952,234
11,16020,263
12,16188,297
13,16268,329
14,16352,356
15,16436,384
16,16500,410
17,16588,437
18,16664,464
19,16752,491
20,16848,519
21,16936,546
22,17052,574
23,17136,603
24,17212,644
25,17212,677
26,17284,704
27,17360,732
28,17444,760
29,17612,788
30,17700,815
31,17732,843
32,17748,870
33,17764,899
34,17772,928
35,17784,954
36,17836,982
37,17848,1013
38,17848,1053
39,17848,1079
40,17848,1108
41,17848,1136
42,17848,1164
43,17864,1191
44,17864,1218
45,17864,1246
46,17864,1272
47,17864,1300
48,17864,1329
49,17864,1356
50,17864,1396
51,17872,1431
52,17872,1459
53,17872,1488
54,17872,1518
55,17872,1547
56,17872,1577
57,17872,1605
58,17872,1630
59,17872,1659
60,17880,1688
61,17880,1717
