% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 21.47    1.853527          83     22229           pwrite64
 16.61    1.433732          72     19877           fcntl
 16.06    1.386000         156      8830           fdatasync
 12.81    1.106099          86     12795           write
  7.61    0.656792          74      8840      4418 newfstatat
  5.50    0.474711         107      4435         2 openat
  4.29    0.370303         167      2208           unlink
  4.20    0.362780          82      4419           pread64
  3.74    0.322547          72      4438           close
  3.44    0.296872          66      4434           fstat
  1.88    0.162122          60      2679           getpid
  1.62    0.139413          63      2209           geteuid
  0.14    0.012385          71       173        14 recvfrom
  0.14    0.011836         118       100           sendto
  0.09    0.007861         102        77           epoll_wait
  0.07    0.005779         120        48           mmap
  0.05    0.004486          65        69           epoll_ctl
  0.05    0.004298          72        59           ioctl
  0.05    0.003978          73        54         4 accept
  0.05    0.003952          74        53           brk
  0.03    0.002697         337         8         8 connect
  0.03    0.002408          75        32           futex
  0.02    0.001367          71        19           timerfd_settime
  0.01    0.001137          56        20           read
  0.01    0.000844          93         9           socket
  0.01    0.000790          60        13           mprotect
  0.01    0.000587          73         8           poll
  0.01    0.000543          67         8           getsockopt
  0.01    0.000457         228         2           clone3
  0.00    0.000350          70         5           rt_sigprocmask
  0.00    0.000187         187         1           munmap
  0.00    0.000178         178         1           execve
  0.00    0.000091          91         1         1 access
  0.00    0.000088          88         1           getcwd
  0.00    0.000084          84         1           arch_prctl
  0.00    0.000084          84         1           set_tid_address
  0.00    0.000084          42         2           getrandom
  0.00    0.000083          83         1           set_robust_list
  0.00    0.000082          82         1           rseq
  0.00    0.000066          66         1           bind
  0.00    0.000064          64         1           timerfd_create
  0.00    0.000064          64         1           eventfd2
  0.00    0.000059          59         1           listen
  0.00    0.000059          59         1           epoll_create1
  0.00    0.000058          58         1           setsockopt
  0.00    0.000055          55         1           rt_sigaction
  0.00    0.000000           0         5           lseek
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    8.632039          87     98173      4447 total
