% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 92.32    0.777829          45     16984           sched_yield
  2.19    0.018441          80       229           write
  1.34    0.011297         869        13           epoll_wait
  0.72    0.006045         123        49           mmap
  0.32    0.002688         134        20           read
  0.30    0.002552         106        24         2 openat
  0.23    0.001922          48        40           getpid
  0.23    0.001910          70        27           futex
  0.22    0.001869          89        21           fstat
  0.22    0.001812          82        22           fcntl
  0.20    0.001684          76        22           close
  0.19    0.001566         111        14           mprotect
  0.18    0.001533          95        16         7 newfstatat
  0.14    0.001203         109        11           pwrite64
  0.12    0.001043          86        12           brk
  0.12    0.001019         127         8           fdatasync
  0.08    0.000707         141         5         3 accept
  0.08    0.000691         345         2           unlink
  0.07    0.000559         186         3           clone3
  0.07    0.000558         558         1         1 connect
  0.06    0.000533          76         7           epoll_ctl
  0.06    0.000516          73         7           pread64
  0.06    0.000494          61         8           rt_sigprocmask
  0.06    0.000471          78         6           lseek
  0.05    0.000430         215         2           socket
  0.04    0.000371          41         9         4 recvfrom
  0.04    0.000314          78         4           ioctl
  0.04    0.000314          78         4           sendto
  0.03    0.000288         288         1           bind
  0.03    0.000275          91         3           geteuid
  0.03    0.000236         236         1           rt_sigaction
  0.02    0.000169          84         2           timerfd_settime
  0.02    0.000166          83         2           getrandom
  0.01    0.000113         113         1           set_tid_address
  0.01    0.000096          96         1           getsockopt
  0.01    0.000091          91         1           poll
  0.01    0.000087          87         1           set_robust_list
  0.01    0.000085          85         1           getcwd
  0.01    0.000082          82         1           arch_prctl
  0.01    0.000082          82         1           rseq
  0.01    0.000080          80         1           listen
  0.01    0.000079          79         1           eventfd2
  0.01    0.000073          73         1           timerfd_create
  0.01    0.000072          72         1           epoll_create1
  0.01    0.000066          66         1           tgkill
  0.01    0.000062          62         1           gettid
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           setsockopt
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.842573          47     17597        18 total
