% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 21.54    1.832410          79     23127           pwrite64
 16.45    1.399545          67     20681           fcntl
 16.25    1.382433         150      9188           fdatasync
 12.24    1.041190          73     14254           write
  7.56    0.643361          69      9196      4596 newfstatat
  5.76    0.489691         106      4613         2 openat
  4.59    0.390261         169      2298           unlink
  4.00    0.340035          73      4597           pread64
  3.68    0.312860          67      4617           close
  3.38    0.287903          62      4612           fstat
  2.03    0.172306          58      2955           getpid
  1.59    0.135222          58      2298           geteuid
  0.21    0.017473         123       142           sendto
  0.20    0.016779          74       226        19 recvfrom
  0.08    0.007174          95        75           epoll_wait
  0.07    0.006154          66        92           epoll_ctl
  0.07    0.005559          74        75         1 accept
  0.06    0.004779          61        78           brk
  0.05    0.004055          49        82           ioctl
  0.04    0.003612          75        48           mmap
  0.04    0.003541         442         8         8 connect
  0.03    0.002816          88        32           futex
  0.02    0.001466          73        20           read
  0.02    0.001306         100        13           mprotect
  0.01    0.001152          64        18           timerfd_settime
  0.01    0.001055         117         9           socket
  0.00    0.000420         210         2           clone3
  0.00    0.000413          59         7           getsockopt
  0.00    0.000394          56         7           poll
  0.00    0.000358          71         5           lseek
  0.00    0.000289          57         5           rt_sigprocmask
  0.00    0.000135         135         1           munmap
  0.00    0.000109         109         1           listen
  0.00    0.000090          90         1           bind
  0.00    0.000081          81         1           setsockopt
  0.00    0.000077          77         1           getcwd
  0.00    0.000075          37         2           getrandom
  0.00    0.000073          73         1           prlimit64
  0.00    0.000072          72         1           arch_prctl
  0.00    0.000072          72         1           rseq
  0.00    0.000071          71         1           set_tid_address
  0.00    0.000071          71         1           set_robust_list
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           timerfd_create
  0.00    0.000000           0         1           eventfd2
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- ----------------
100.00    8.506938          82    103398      4627 total
