% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 45.82    0.004991         108        46           mmap
 10.72    0.001168         106        11           mprotect
  9.02    0.000983          89        11         1 openat
  8.39    0.000914         101         9           read
  6.57    0.000716          71        10           close
  6.40    0.000697          69        10           fstat
  3.92    0.000427         142         3           write
  1.41    0.000154          51         3           brk
  1.40    0.000153          76         2           pread64
  1.35    0.000147          73         2           futex
  0.88    0.000096          96         1           munmap
  0.72    0.000078          78         1           prlimit64
  0.69    0.000075          75         1           set_tid_address
  0.69    0.000075          75         1           getrandom
  0.68    0.000074          74         1           set_robust_list
  0.67    0.000073          73         1           arch_prctl
  0.66    0.000072          72         1           rseq
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.010893          93       116         2 total
