% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 61.64    7.404354          72    102108           write
 35.06    4.211141         104     40121           futex
  2.08    0.249502          65      3810      1033 recvfrom
  0.43    0.051204          55       929           getpid
  0.19    0.022803          84       269           epoll_wait
  0.19    0.022553         112       200           sendto
  0.07    0.008094          66       122           brk
  0.05    0.006170          60       102         2 accept
  0.05    0.005924          52       113           epoll_ctl
  0.04    0.004573          43       106           ioctl
  0.04    0.004313          78        55           mmap
  0.02    0.002801          71        39           fcntl
  0.02    0.002275          84        27           fstat
  0.02    0.001924          80        24         2 openat
  0.01    0.001509          94        16           pwrite64
  0.01    0.001495          62        24           close
  0.01    0.001346         269         5         5 connect
  0.01    0.001112          55        20           read
  0.01    0.001087         543         2           unlink
  0.01    0.001083         180         6           fdatasync
  0.01    0.001046          69        15         6 newfstatat
  0.01    0.001015          67        15           mprotect
  0.00    0.000502         125         4           munmap
  0.00    0.000445          63         7           pread64
  0.00    0.000442          73         6           socket
  0.00    0.000440          88         5           lseek
  0.00    0.000412          41        10           timerfd_settime
  0.00    0.000397          99         4           clone3
  0.00    0.000291         291         1           eventfd2
  0.00    0.000261          52         5           poll
  0.00    0.000240          26         9           rt_sigprocmask
  0.00    0.000204          51         4           geteuid
  0.00    0.000203          40         5           getsockopt
  0.00    0.000128         128         1           ftruncate
  0.00    0.000120         120         1           bind
  0.00    0.000116          58         2           getrandom
  0.00    0.000111         111         1           epoll_create1
  0.00    0.000063          63         1           timerfd_create
  0.00    0.000061          61         1           getcwd
  0.00    0.000055          55         1           listen
  0.00    0.000055          55         1           arch_prctl
  0.00    0.000055          55         1           set_tid_address
  0.00    0.000055          55         1           set_robust_list
  0.00    0.000054          54         1           setsockopt
  0.00    0.000053          53         1           prlimit64
  0.00    0.000050          50         1           rseq
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00   12.012137          81    148205      1049 total
