elapsed_sec,rss_kb,cpu_ticks_total
0,13216,5
1,13216,5
2,17264,63
3,18480,121
4,19432,180
5,20348,240
6,21216,303
7,21808,368
8,22184,432
9,22392,496
10,22424,541
11,22424,585
12,22424,628
13,22424,673
14,22424,715
15,22424,760
16,22424,803
17,22484,848
18,22484,891
19,22484,935
20,22484,979
21,22484,1023
22,22484,1065
23,22484,1108
24,23180,1172
25,23372,1237
26,23520,1303
27,23816,1370
28,23944,1436
29,24068,1503
30,24296,1569
31,24904,1637
32,25124,1704
33,25348,1772
34,25392,1821
35,25392,1865
36,25392,1909
37,25392,1954
38,25392,1997
39,25392,2040
40,25392,2084
41,25392,2129
42,25392,2171
43,25392,2214
44,25392,2258
45,25392,2302
46,25392,2345
47,25392,2389
48,25392,2432
49,25392,2476
50,25392,2519
51,25392,2563
52,25392,2606
53,25392,2650
54,25392,2694
55,25392,2739
56,25392,2784
57,25392,2827
58,25444,2887
59,25516,2954
60,25584,3019
