elapsed_sec,rss_kb,cpu_ticks_total
0,13028,6
1,13260,8
2,13676,22
3,13676,33
7,13676,42
8,13676,53
9,13676,63
10,13676,74
11,13676,87
12,13676,102
13,13676,115
14,13676,125
15,13676,135
16,13676,145
17,13676,154
18,13676,165
19,13676,174
20,13676,183
21,13676,197
22,13676,213
23,13676,227
24,13676,237
25,13676,251
26,13676,264
27,13676,275
28,13676,288
29,13676,299
30,13676,310
31,13676,323
32,13676,343
33,13676,355
34,13676,365
35,13676,375
36,13676,385
37,13676,394
38,13676,404
42,13676,414
43,13676,423
44,13676,435
45,13676,451
46,13676,462
47,13676,472
48,13676,481
49,13676,491
50,13676,501
51,13676,512
53,13676,522
54,13676,531
55,13676,542
56,13676,556
57,13676,567
58,13676,576
59,13676,586
60,13676,596
61,13676,606
62,13676,616
63,13676,625
64,13676,637
65,13676,648
66,13676,664
