% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 20.66    0.709990         119      5941           pwrite64
 16.45    0.565339         238      2375           fdatasync
 15.14    0.520254          97      5347           fcntl
  7.92    0.272191         124      2185           write
  7.37    0.253393         106      2384      1191 newfstatat
  5.98    0.205657         170      1207         2 openat
  4.50    0.154682         260       593           unlink
  4.44    0.152623         130      1174       583 recvfrom
  4.10    0.140870         118      1191           pread64
  3.56    0.122234         100      1216           close
  3.20    0.110002          91      1205           fstat
  2.44    0.083904         133       628           epoll_wait
  1.54    0.052874          84       623           getpid
  1.51    0.051888          87       595           geteuid
  0.44    0.015113        1162        13        13 connect
  0.13    0.004418         119        37           futex
  0.09    0.003179         227        14           socket
  0.08    0.002579          85        30           epoll_ctl
  0.06    0.002123         163        13           mprotect
  0.06    0.002122          81        26           timerfd_settime
  0.05    0.001857          38        48           mmap
  0.04    0.001304          86        15           ioctl
  0.04    0.001217          60        20           read
  0.03    0.001091          83        13           getsockopt
  0.03    0.001070          82        13           poll
  0.03    0.000950         105         9           brk
  0.02    0.000581         581         1           bind
  0.02    0.000524         174         3         2 accept
  0.01    0.000465         232         2           clone3
  0.01    0.000376          75         5           lseek
  0.01    0.000320          64         5           rt_sigprocmask
  0.01    0.000284         284         1           arch_prctl
  0.00    0.000160          80         2           getrandom
  0.00    0.000159         159         1           rt_sigaction
  0.00    0.000112          56         2           sendto
  0.00    0.000110         110         1           munmap
  0.00    0.000080          80         1           listen
  0.00    0.000079          79         1           setsockopt
  0.00    0.000077          77         1           getcwd
  0.00    0.000073          73         1           timerfd_create
  0.00    0.000073          73         1           prlimit64
  0.00    0.000071          71         1           set_tid_address
  0.00    0.000071          71         1           set_robust_list
  0.00    0.000071          71         1           rseq
  0.00    0.000060          60         1           epoll_create1
  0.00    0.000010          10         1           eventfd2
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    3.436680         127     26950      1792 total
