% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 93.44   10.149999          81    124111           write
  5.07    0.550333          64      8478      3866 recvfrom
  0.51    0.055675          60       925           getpid
  0.24    0.025890          73       353           epoll_wait
  0.23    0.025264         126       200           sendto
  0.12    0.012996          74       175           brk
  0.08    0.008577          84       102         2 accept
  0.06    0.005994          54       111           epoll_ctl
  0.05    0.005842          55       105           ioctl
  0.03    0.003171          93        34         2 futex
  0.03    0.003169          58        54           mmap
  0.02    0.001667          72        23         2 openat
  0.01    0.001408          58        24           close
  0.01    0.001311          50        26           fcntl
  0.01    0.001106          50        22           fstat
  0.01    0.000968         121         8           fdatasync
  0.01    0.000934         233         4         4 connect
  0.01    0.000903          82        11           pwrite64
  0.01    0.000847          42        20           read
  0.01    0.000844          60        14           mprotect
  0.01    0.000766          47        16         6 newfstatat
  0.01    0.000641         213         3           clone3
  0.01    0.000546         109         5           socket
  0.00    0.000514          64         8           timerfd_settime
  0.00    0.000461         153         3           unlink
  0.00    0.000425          85         5           munmap
  0.00    0.000399          57         7           rt_sigprocmask
  0.00    0.000271          54         5           lseek
  0.00    0.000255          36         7           pread64
  0.00    0.000251          62         4           getsockopt
  0.00    0.000227          56         4           poll
  0.00    0.000153         153         1           rt_sigaction
  0.00    0.000144          48         3           geteuid
  0.00    0.000078          78         1           eventfd2
  0.00    0.000069          69         1           epoll_create1
  0.00    0.000069          34         2           getrandom
  0.00    0.000068          68         1           bind
  0.00    0.000061          61         1           timerfd_create
  0.00    0.000060          60         1           listen
  0.00    0.000060          60         1           setsockopt
  0.00    0.000046          46         1           rseq
  0.00    0.000039          39         1           getcwd
  0.00    0.000039          39         1           prlimit64
  0.00    0.000036          36         1           arch_prctl
  0.00    0.000035          35         1           set_tid_address
  0.00    0.000035          35         1           set_robust_list
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00   10.862646          80    134887      3883 total
