elapsed_sec,rss_kb,cpu_ticks_total
0,13180,4
1,13332,5
2,17640,60
3,19364,113
4,20524,166
5,21596,220
6,21920,275
7,22288,329
8,22616,382
9,23180,438
10,23200,484
11,23204,534
12,23204,581
13,23204,630
14,23208,679
15,23212,727
16,23220,775
17,23224,823
18,23292,869
19,23296,918
20,23300,967
21,23304,1015
22,23308,1062
23,23316,1109
24,23320,1156
25,23324,1204
26,23328,1251
27,23332,1296
29,23344,1342
30,24256,1398
31,24268,1456
32,24556,1512
33,24876,1569
34,25648,1626
35,25928,1683
36,26536,1740
37,27116,1798
38,27728,1856
39,29012,1913
40,29032,1960
41,29036,2007
42,29040,2053
43,29048,2102
44,29052,2148
45,29056,2195
46,29060,2242
47,29068,2288
48,29072,2334
49,29076,2381
50,29080,2428
51,29092,2475
52,29096,2522
53,29100,2570
54,29104,2618
55,29108,2665
56,29116,2712
57,29120,2759
58,29124,2804
59,29128,2851
60,29136,2897
62,29140,2943
