elapsed_sec,rss_kb,cpu_ticks_total
0,13176,8
1,13644,10
2,14272,59
3,14272,109
4,14272,160
5,14272,210
6,14272,260
7,14272,308
8,14272,356
9,14272,401
10,14272,450
11,14592,498
