% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 94.35    0.896522          33     26746           sched_yield
  0.73    0.006939          29       234           write
  0.66    0.006281         128        49           mmap
  0.55    0.005250          69        76           getpid
  0.35    0.003369         187        18           epoll_wait
  0.29    0.002739         114        24         2 openat
  0.27    0.002607         118        22           fcntl
  0.21    0.001998          74        27           futex
  0.21    0.001988          94        21           fstat
  0.20    0.001919         159        12           sendto
  0.20    0.001888          94        20           read
  0.18    0.001721         215         8           fdatasync
  0.18    0.001701          77        22           close
  0.16    0.001536          85        18           brk
  0.16    0.001526        1526         1           execve
  0.16    0.001484         106        14           mprotect
  0.14    0.001359          84        16         7 newfstatat
  0.14    0.001292         117        11           pwrite64
  0.13    0.001228          55        22         8 recvfrom
  0.11    0.001049          69        15         8 accept
  0.07    0.000676         676         1         1 connect
  0.07    0.000653          93         7           pread64
  0.06    0.000551          68         8           rt_sigprocmask
  0.05    0.000522          58         9           ioctl
  0.05    0.000478          39        12           epoll_ctl
  0.04    0.000416         138         3           clone3
  0.04    0.000375         187         2           unlink
  0.02    0.000224          74         3           geteuid
  0.02    0.000205         102         2           socket
  0.02    0.000179          29         6           lseek
  0.02    0.000160          80         2           getrandom
  0.02    0.000153          76         2           timerfd_settime
  0.01    0.000125         125         1           munmap
  0.01    0.000105         105         1         1 access
  0.01    0.000093          93         1           bind
  0.01    0.000084          84         1           listen
  0.01    0.000084          84         1           getcwd
  0.01    0.000080          80         1           prlimit64
  0.01    0.000079          79         1           rt_sigaction
  0.01    0.000079          79         1           getsockopt
  0.01    0.000077          77         1           poll
  0.01    0.000077          77         1           arch_prctl
  0.01    0.000077          77         1           set_tid_address
  0.01    0.000076          76         1           setsockopt
  0.01    0.000076          76         1           set_robust_list
  0.01    0.000076          76         1           rseq
  0.00    0.000046          46         1           tgkill
  0.00    0.000036          36         1           gettid
  0.00    0.000000           0         1           timerfd_create
  0.00    0.000000           0         1           eventfd2
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- ----------------
100.00    0.950258          34     27452        27 total
