elapsed_sec,rss_kb,cpu_ticks_total
0,13092,6
1,13400,7
2,17272,62
3,17364,102
4,17580,142
5,17680,183
6,17844,224
7,17980,250
8,18124,283
10,18280,321
11,18296,368
12,18296,414
13,18296,461
14,18300,508
15,18364,555
16,18372,601
17,18376,647
18,18384,693
19,18388,741
20,18856,791
21,18968,849
22,19532,907
23,19992,963
24,20280,1008
25,20432,1047
26,20596,1085
27,21072,1125
28,21152,1165
29,21224,1203
30,21284,1245
31,21292,1294
32,21296,1343
33,21300,1392
34,21304,1439
35,21312,1486
36,21316,1534
37,21320,1581
38,21328,1628
39,21336,1675
40,21340,1722
42,21344,1769
43,21348,1816
44,21356,1862
45,21360,1910
46,21364,1957
47,21368,2002
48,21372,2048
49,21380,2094
50,21388,2141
51,21392,2187
52,21396,2235
53,21400,2283
54,21408,2330
55,21412,2378
56,21488,2433
57,21492,2489
58,21528,2546
59,21824,2603
60,22600,2661
61,22848,2719
62,23400,2778
