% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 85.56    8.804053          79    110707           write
 10.28    1.057920          72     14685      7154 recvfrom
  3.28    0.337471         346       975           epoll_wait
  0.25    0.025598          54       472           getpid
  0.15    0.015736         157       100           sendto
  0.05    0.004727          62        76           brk
  0.05    0.004635          89        52         2 accept
  0.04    0.004262         106        40         3 futex
  0.04    0.004196          79        53           mmap
  0.04    0.003680          56        65           epoll_ctl
  0.03    0.002951          51        57           ioctl
  0.03    0.002686         116        23         2 openat
  0.02    0.002151         358         6         6 connect
  0.02    0.001767          88        20           read
  0.02    0.001659          75        22           fcntl
  0.02    0.001553          59        26           close
  0.01    0.001352          64        21           fstat
  0.01    0.001218         174         7           socket
  0.01    0.001198         108        11           pwrite64
  0.01    0.001183         295         4           munmap
  0.01    0.001140          71        16         7 newfstatat
  0.01    0.001115         139         8           fdatasync
  0.01    0.000916         916         1           execve
  0.01    0.000848          60        14           mprotect
  0.01    0.000683         227         3           clone3
  0.01    0.000626          56        11           timerfd_settime
  0.01    0.000584          83         7           rt_sigprocmask
  0.01    0.000570         570         1           bind
  0.00    0.000460          65         7           pread64
  0.00    0.000452          75         6           getsockopt
  0.00    0.000388          64         6           poll
  0.00    0.000383         191         2           unlink
  0.00    0.000240          80         3           geteuid
  0.00    0.000210         210         1           arch_prctl
  0.00    0.000206          41         5           lseek
  0.00    0.000136         136         1           eventfd2
  0.00    0.000118         118         1           listen
  0.00    0.000117         117         1           set_robust_list
  0.00    0.000094          94         1           rt_sigaction
  0.00    0.000076          76         1           timerfd_create
  0.00    0.000073          73         1         1 access
  0.00    0.000061          61         1           epoll_create1
  0.00    0.000060          60         1           setsockopt
  0.00    0.000057          57         1           rseq
  0.00    0.000055          55         1           set_tid_address
  0.00    0.000048          48         1           getcwd
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         2           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00   10.289712          80    127527      7175 total
