elapsed_sec,rss_kb,cpu_ticks_total
0,13024,7
1,13272,9
2,14572,38
3,14776,63
4,14988,89
5,15220,114
6,15368,139
7,15524,164
8,15668,190
10,15772,215
11,15952,242
12,16092,276
13,16176,302
14,16356,328
15,16432,354
16,16508,381
17,16680,407
18,16784,433
19,16872,459
20,16968,486
21,17140,515
22,17144,542
23,17300,570
24,17300,611
25,17380,639
26,17456,666
27,17532,693
28,17612,720
29,17612,749
30,17704,775
31,17800,802
32,17876,829
33,17964,855
34,18072,881
35,18160,908
36,18168,935
37,18260,973
38,18260,1006
39,18336,1032
40,18412,1060
41,18492,1087
42,18492,1112
43,18572,1140
44,18684,1167
45,18776,1195
46,18776,1225
47,18856,1251
48,18920,1280
49,19004,1311
50,19004,1354
51,19020,1382
52,19100,1409
53,19100,1436
54,19188,1464
55,19272,1490
56,19276,1516
57,19364,1543
58,19464,1570
59,19556,1596
60,19572,1623
61,19660,1649
