% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 21.54    1.772748          75     23340           pwrite64
 17.06    1.403792         151      9270           fdatasync
 16.52    1.359452          65     20863           fcntl
 11.30    0.929953          70     13200           write
  7.46    0.614187          66      9280      4639 newfstatat
  5.87    0.483129         103      4655         2 openat
  4.54    0.373921         161      2317           unlink
  3.96    0.326047          70      4639           pread64
  3.76    0.309646          66      4658           close
  3.45    0.284202          61      4653           fstat
  2.03    0.166890          56      2968           getpid
  1.62    0.133707          57      2319           geteuid
  0.17    0.013716          97       140           sendto
  0.16    0.013521          64       210        12 recvfrom
  0.08    0.006934          77        89           epoll_wait
  0.07    0.005830         121        48           mmap
  0.06    0.004976          61        81         8 accept
  0.06    0.004692          62        75           brk
  0.05    0.003872          42        91           epoll_ctl
  0.04    0.003459          42        81           ioctl
  0.03    0.002843          88        32           futex
  0.03    0.002169         108        20           read
  0.02    0.001913         239         8         8 connect
  0.02    0.001400         107        13           mprotect
  0.01    0.000998          55        18           timerfd_settime
  0.01    0.000903         903         1           execve
  0.01    0.000608          67         9           socket
  0.01    0.000577          82         7           poll
  0.01    0.000546         273         2           getrandom
  0.01    0.000546         273         2           clone3
  0.00    0.000387          77         5           rt_sigprocmask
  0.00    0.000367          52         7           getsockopt
  0.00    0.000269         269         1           rt_sigaction
  0.00    0.000122         122         1           munmap
  0.00    0.000091          91         1           bind
  0.00    0.000089          17         5           lseek
  0.00    0.000085          85         1           rseq
  0.00    0.000083          83         1           set_robust_list
  0.00    0.000083          83         1           prlimit64
  0.00    0.000080          80         1           getcwd
  0.00    0.000079          79         1           listen
  0.00    0.000078          78         1         1 access
  0.00    0.000078          78         1           setsockopt
  0.00    0.000077          77         1           eventfd2
  0.00    0.000071          71         1           arch_prctl
  0.00    0.000071          71         1           set_tid_address
  0.00    0.000069          69         1           timerfd_create
  0.00    0.000069          69         1           epoll_create1
------ ----------- ----------- --------- --------- ----------------
100.00    8.229425          79    103121      4670 total
