% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 45.68    0.580075         150      3848           write
 33.30    0.422875         680       621           epoll_wait
 10.27    0.130351         112      1159       579 recvfrom
  7.10    0.090189         147       611           futex
  0.48    0.006158         192        32           close
  0.43    0.005422         110        49           mmap
  0.31    0.003934         327        12        12 connect
  0.28    0.003581         149        24           timerfd_settime
  0.20    0.002554         111        23         2 openat
  0.20    0.002490         191        13           socket
  0.17    0.002164          77        28           epoll_ctl
  0.16    0.001974          98        20           read
  0.15    0.001851         154        12           brk
  0.14    0.001812         226         8           fdatasync
  0.13    0.001645          54        30           getpid
  0.10    0.001262          90        14           mprotect
  0.10    0.001258          59        21           fstat
  0.08    0.001060          96        11           pwrite64
  0.08    0.001004          45        22           fcntl
  0.08    0.000993          70        14           ioctl
  0.06    0.000822          51        16         7 newfstatat
  0.06    0.000805          67        12           poll
  0.06    0.000804          67        12           getsockopt
  0.05    0.000588         294         2           sendto
  0.04    0.000540          77         7           pread64
  0.04    0.000493         164         3           clone3
  0.04    0.000491          70         7           rt_sigprocmask
  0.03    0.000373         124         3         2 accept
  0.03    0.000344          68         5           lseek
  0.03    0.000333         166         2           unlink
  0.02    0.000285         285         1           bind
  0.01    0.000119          39         3           geteuid
  0.01    0.000108         108         1           munmap
  0.01    0.000085          85         1         1 access
  0.01    0.000082          82         1           setsockopt
  0.01    0.000081          40         2           getrandom
  0.01    0.000079          79         1           prlimit64
  0.01    0.000077          77         1           arch_prctl
  0.01    0.000077          77         1           set_robust_list
  0.01    0.000077          77         1           rseq
  0.01    0.000076          76         1           set_tid_address
  0.01    0.000075          75         1           rt_sigaction
  0.01    0.000074          74         1           getcwd
  0.01    0.000068          68         1           eventfd2
  0.01    0.000064          64         1           timerfd_create
  0.00    0.000063          63         1           listen
  0.00    0.000063          63         1           epoll_create1
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    1.269798         190      6662       603 total
