elapsed_sec,rss_kb,cpu_ticks_total
0,13112,7
1,13656,9
2,13720,12
3,13720,14
4,13720,18
5,13720,20
6,13720,23
7,13720,26
8,13720,29
9,13720,32
10,13784,43
11,13784,46
12,13784,49
13,13784,52
14,13784,55
15,13784,58
16,13788,62
17,13788,65
18,13788,68
19,13788,70
21,13788,86
22,13788,89
23,13788,92
24,13788,95
25,13788,98
26,13788,102
27,13788,105
28,13788,108
29,13788,111
30,13788,114
31,13788,131
32,13788,134
33,13788,137
34,13788,139
35,13788,142
36,13788,146
37,13796,149
38,13796,151
39,13796,154
40,13796,157
41,13796,174
42,13796,177
43,13796,181
44,13796,183
45,13796,186
46,13796,189
47,13796,192
48,13796,195
49,13796,197
50,13796,201
51,13796,217
52,13796,220
54,13796,223
55,13796,226
56,13796,228
57,13796,231
58,13796,234
59,13796,237
60,13796,240
61,13796,243
