elapsed_sec,rss_kb,cpu_ticks_total
0,13044,6
1,13500,7
2,17812,60
3,19224,111
4,20336,166
5,21480,221
7,22472,277
8,23688,335
9,24776,394
10,26028,451
11,26308,502
12,26312,550
13,26312,599
14,26312,648
15,26316,696
16,26320,744
17,26332,792
18,26340,840
19,26404,889
20,26408,939
21,26416,988
22,26420,1037
23,26424,1087
24,26428,1139
25,26436,1188
26,26440,1237
27,26448,1284
28,27232,1340
29,28460,1402
30,29636,1462
31,30912,1524
32,32196,1584
33,33560,1644
34,34892,1704
35,36168,1764
36,37408,1823
37,38684,1883
38,40072,1939
39,40076,1987
41,40084,2036
42,40088,2086
43,40092,2135
44,40100,2184
45,40104,2232
46,40108,2281
47,40116,2330
48,40120,2378
49,40124,2427
50,40136,2475
51,40140,2523
52,40144,2571
53,40152,2620
54,40156,2668
55,40160,2717
56,40168,2764
57,40172,2813
58,40176,2861
59,40184,2909
60,40192,2957
61,40196,3006
62,40204,3055
