% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 92.46   10.472891          84    123335           write
  4.85    0.548997          75      7305      2623 recvfrom
  1.09    0.123432          59      2078           getpid
  0.46    0.051651         113       456           sendto
  0.29    0.032984          97       338           epoll_wait
  0.21    0.023685          87       271        40 accept
  0.17    0.019381          75       258           brk
  0.13    0.014525          60       241           epoll_ctl
  0.11    0.012995          55       235           ioctl
  0.05    0.005464         101        54           mmap
  0.03    0.002835          70        40         2 futex
  0.02    0.001821          91        20           read
  0.02    0.001727          75        23         2 openat
  0.01    0.001593          66        24           close
  0.01    0.001514          68        22           fstat
  0.01    0.001437         102        14           mprotect
  0.01    0.001143          43        26           fcntl
  0.01    0.001125         140         8           fdatasync
  0.01    0.000943          85        11           pwrite64
  0.01    0.000943         314         3           clone3
  0.01    0.000657         131         5           munmap
  0.01    0.000656          93         7           rt_sigprocmask
  0.01    0.000650          81         8           timerfd_settime
  0.00    0.000563         140         4         4 connect
  0.00    0.000430         430         1           execve
  0.00    0.000423          26        16         6 newfstatat
  0.00    0.000410          82         5           socket
  0.00    0.000380          54         7           pread64
  0.00    0.000320          64         5           lseek
  0.00    0.000200          66         3           unlink
  0.00    0.000197          49         4           getsockopt
  0.00    0.000168         168         1           bind
  0.00    0.000160          53         3           geteuid
  0.00    0.000141         141         1         1 access
  0.00    0.000140         140         1           timerfd_create
  0.00    0.000127          31         4           poll
  0.00    0.000127         127         1           listen
  0.00    0.000102         102         1           eventfd2
  0.00    0.000093          93         1           set_tid_address
  0.00    0.000088          88         1           epoll_create1
  0.00    0.000076          76         1           set_robust_list
  0.00    0.000073          73         1           arch_prctl
  0.00    0.000065          65         1           setsockopt
  0.00    0.000052          52         1           rt_sigaction
  0.00    0.000041          20         2           getrandom
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00   11.327425          84    134850      2678 total
